num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = No, error = The simulation model supplied resulted in a parent node having a time value <= to its child. This can occur either as a result of multiple bottlenecks happening at the same time or because of numerical imprecision with very small population sizes.
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = No, error = The simulation model supplied resulted in a parent node having a time value <= to its child. This can occur either as a result of multiple bottlenecks happening at the same time or because of numerical imprecision with very small population sizes.
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
num_layers = 3, ancestral_ne = 50000, recomb_rate = 0, success = Yes
